"","CA.pearson","CA.pearson.sqrt","CM.pearson","CM.pearson.sqrt","CA.spearman","CM.spearman"
"CN R0 = -0.1",NA,NA,NA,NA,NA,NA
"CN R0 = 2.5",NA,NA,NA,NA,NA,NA
"CN R0 = 7.5",0.847570906423979,0.816584083654842,NA,NA,0.716220411762514,0.652821291283197
"CN R0 = 12.5",0.723038424286406,0.793675586740397,0.772580099293518,0.777341669772733,0.78513220154907,0.705189327774125
"CN R0 = 17.5",0.560547836061617,0.73184087006163,0.537561874943741,0.694839055114087,0.780985358287973,0.736940849437963
"CN R0 = 22.5",0.514429324524398,0.684729812789111,0.513152340204388,0.683836091286731,0.741974593469917,0.741974593469917
"CN R0 = 27.5",0.385998791522123,0.522374011970545,0.385772099929017,0.522181892340189,0.510871468786206,0.510871468786206
"CN R0 = 32.5",0.146846662788072,0.20564467480624,0.172941999093188,0.242476001512557,0.0351191974918883,0.193567398541716
"CN R0 = 37.5",NA,NA,0.105496856608993,0.126699270011479,NA,0.0668004013380169
"CN R0 = 42.5",NA,NA,NA,NA,NA,NA
"CN R0 = 47.5",NA,NA,NA,NA,NA,NA
"CN R0 = 52.5",NA,NA,NA,NA,NA,NA
"WCN",0.773186068570908,0.853194159432933,0.665351491262882,0.737613336823184,0.821573557101033,0.711300486498841
